@relation 'Bank-weka.filters.unsupervised.attribute.Remove-R2-5,7-16'

@attribute idade numeric
@attribute balanco numeric
@attribute deposito {yes,no}

@data
42,443,yes
42,-1129,yes
32,415,yes
29,260,yes
44,-411,yes
32,1279,yes
31,86,yes
40,-754,yes
43,0,yes
27,178,yes
37,278,yes
23,425,yes
25,168,yes
26,-36,yes
47,126,yes
35,-87,yes
32,6281,yes
45,644,yes
30,377,yes
29,-271,yes
38,5839,yes
23,492,yes
27,99,yes
27,-713,yes
29,32,yes
30,543,yes
36,403,yes
35,437,yes
36,1772,yes
59,-88,yes
47,0,yes
58,853,yes
37,240,yes
46,849,yes
43,318,yes
27,703,yes
38,61,yes
53,104,yes
47,1996,yes
56,1238,yes
41,879,yes
29,425,yes
50,416,yes
45,844,yes
35,860,yes
26,639,yes
26,710,yes
37,1508,yes
30,223,yes
38,619,yes
37,319,yes
53,480,yes
29,213,yes
35,68,yes
28,2788,yes
55,7561,yes
49,-46,yes
50,1595,yes
43,1046,yes
58,1382,yes
38,217,yes
48,183,yes
59,1321,yes
58,25,yes
36,4844,yes
42,5345,yes
41,812,yes
42,105,yes
39,-190,yes
57,625,yes
52,293,yes
59,1033,yes
56,1210,yes
49,64,yes
35,164,yes
36,1766,yes
40,1248,yes
55,0,yes
58,826,yes
39,2630,yes
47,3727,yes
40,406,yes
35,2999,yes
48,1000,yes
48,503,yes
24,-203,yes
49,361,yes
36,274,yes
52,3687,yes
42,323,yes
36,981,yes
36,638,yes
48,3229,yes
51,1610,yes
51,33,yes
46,536,yes
37,0,yes
36,3057,yes
47,2892,yes
40,0,yes
38,3316,yes
40,106,yes
39,2303,yes
60,3301,yes
39,426,yes
51,9,yes
27,-97,yes
41,11008,yes
42,4930,yes
41,707,yes
33,4,yes
46,126,yes
31,671,yes
41,219,yes
41,3622,yes
55,1580,yes
53,1319,yes
55,2152,yes
39,2843,yes
40,0,yes
59,1115,yes
42,625,yes
41,246,yes
27,61,yes
25,-191,yes
43,519,yes
44,522,yes
26,-46,yes
52,2269,yes
54,386,yes
56,0,yes
57,9103,yes
29,908,yes
47,1694,yes
57,-92,yes
40,188,yes
46,0,yes
43,740,yes
45,655,yes
24,867,yes
40,1009,yes
38,6360,yes
36,4145,yes
27,-27,yes
26,-122,yes
43,149,yes
25,52,yes
27,335,yes
30,526,yes
28,-7,yes
27,-413,yes
32,-241,yes
41,75,yes
37,0,yes
27,158,yes
29,84,yes
33,114,yes
36,0,yes
28,-127,yes
55,49,yes
51,216,yes
39,506,yes
42,213,yes
33,170,yes
36,776,yes
45,879,yes
37,1633,yes
46,926,yes
32,2559,yes
28,909,yes
45,-176,yes
41,1085,yes
59,1265,yes
47,-239,yes
31,726,yes
31,296,yes
33,-627,yes
52,-468,yes
26,551,yes
25,0,yes
25,101,yes
28,517,yes
33,37,yes
45,854,yes
36,30,yes
26,81,yes
38,0,yes
56,663,yes
26,102,yes
26,370,yes
25,189,yes
26,111,yes
40,665,yes
37,214,yes
43,0,yes
41,1583,yes
49,0,yes
29,0,yes
39,687,yes
38,327,yes
26,-119,yes
32,794,yes
33,-191,yes
31,409,yes
49,3,yes
27,9,yes
30,155,yes
35,1330,yes
26,-29,yes
45,3133,yes
34,-33,yes
28,-170,yes
25,1243,yes
30,1598,yes
30,5,yes
47,367,yes
57,658,yes
38,1722,yes
54,-315,yes
25,2483,yes
30,0,yes
26,45,yes
31,46,yes
29,482,yes
49,3728,yes
60,1099,yes
60,2222,yes
29,983,yes
55,204,yes
44,1074,yes
47,3466,yes
35,-203,yes
35,2436,yes
38,976,yes
34,146,yes
50,156,yes
43,189,yes
44,163,yes
51,242,yes
31,1173,yes
39,0,yes
59,296,yes
25,333,yes
58,3864,yes
30,2686,yes
34,-109,yes
51,65,yes
60,597,yes
51,-799,yes
37,1775,yes
30,0,yes
46,-563,yes
29,5,yes
27,139,yes
28,0,yes
34,855,yes
29,694,yes
27,151,yes
26,354,yes
36,673,yes
44,1265,yes
39,597,yes
30,-393,yes
31,256,yes
56,0,yes
29,2870,yes
43,184,yes
32,1905,yes
30,-36,yes
40,-839,yes
42,3465,yes
27,119,yes
35,36,yes
35,113,yes
32,118,yes
39,251,yes
31,-277,yes
26,-189,yes
42,4,yes
27,1820,yes
33,1904,yes
51,201,yes
33,0,yes
30,178,yes
52,3798,yes
42,301,yes
31,294,yes
27,0,yes
44,292,yes
40,2998,yes
46,2084,yes
32,454,yes
56,179,yes
33,661,yes
33,89,yes
32,102,yes
41,138,yes
31,622,yes
30,10,yes
34,-251,yes
43,104,yes
28,173,yes
32,-46,yes
31,0,yes
35,145,yes
31,325,yes
25,2311,yes
56,158,yes
47,1981,yes
39,1423,yes
51,2455,yes
54,859,yes
58,9004,yes
42,970,yes
56,486,yes
55,127,yes
26,409,yes
40,664,yes
26,223,yes
35,-324,yes
34,-30,yes
41,1253,yes
44,4758,yes
33,30,yes
36,81,yes
38,0,yes
35,328,yes
41,145,yes
41,465,yes
28,751,yes
26,-379,yes
39,0,yes
25,349,yes
37,1110,yes
25,2228,yes
46,2166,yes
25,-247,yes
28,-123,yes
33,44,yes
32,131,yes
32,476,yes
47,1101,yes
50,-168,yes
27,-392,yes
45,524,yes
51,895,yes
36,212,yes
51,95,yes
33,395,yes
59,135,yes
38,0,yes
40,471,yes
51,603,yes
41,663,yes
38,593,yes
31,1224,yes
28,2,yes
41,720,yes
33,990,yes
25,1747,yes
45,59,yes
31,33,yes
28,340,yes
49,305,yes
25,0,yes
28,497,yes
54,1371,yes
28,1628,yes
27,372,yes
49,566,yes
53,343,yes
26,941,yes
37,775,yes
34,1759,yes
51,1495,yes
39,1444,yes
35,470,yes
51,1162,yes
30,2,yes
42,1628,yes
54,1134,yes
51,0,yes
57,63,yes
30,1221,yes
37,5024,yes
39,10685,yes
35,1629,yes
48,268,yes
31,0,yes
35,5613,yes
48,513,yes
53,362,yes
27,3933,yes
55,3899,yes
40,473,yes
40,1616,yes
38,1817,yes
54,129,yes
54,1938,yes
50,133,yes
48,2263,yes
41,1538,yes
51,5,yes
42,2625,yes
58,1080,yes
47,312,yes
58,145,yes
41,-190,yes
50,2678,yes
46,271,yes
44,0,yes
36,0,yes
58,3161,yes
44,-4,yes
49,-701,yes
55,-375,yes
52,959,yes
60,1091,yes
41,-1,yes
36,96,yes
41,0,yes
50,230,yes
44,-156,yes
54,114,yes
35,-468,yes
59,679,yes
42,206,yes
27,1,yes
59,2518,yes
43,378,yes
39,391,yes
33,-144,yes
36,1240,yes
35,1792,yes
50,2284,yes
55,264,yes
51,0,yes
48,-392,yes
55,77,yes
30,48,yes
53,252,yes
40,1954,yes
44,755,yes
49,755,yes
40,341,yes
58,1183,yes
49,388,yes
38,1919,yes
51,1613,yes
36,0,yes
55,0,yes
43,0,yes
60,0,yes
57,466,yes
41,515,yes
50,2313,yes
53,-8,yes
59,1634,yes
59,100,yes
52,5361,yes
58,1257,yes
59,3400,yes
49,1377,yes
33,2885,yes
55,512,yes
42,921,yes
52,1000,yes
38,202,yes
55,169,yes
49,3726,yes
56,146,yes
46,940,yes
57,734,yes
61,77,yes
45,925,yes
39,1836,yes
46,660,yes
43,1304,yes
34,2956,yes
35,146,yes
36,36,yes
45,1,yes
47,2480,yes
42,14282,yes
40,0,yes
40,311,yes
32,560,yes
33,3059,yes
32,1423,yes
46,874,yes
50,706,yes
51,7098,yes
30,5389,yes
39,1104,yes
47,3070,yes
40,0,yes
50,4108,yes
60,0,yes
32,4291,yes
57,6822,yes
41,231,yes
50,3176,yes
46,-824,yes
31,676,yes
36,651,yes
45,2657,yes
33,801,yes
47,405,yes
35,82,yes
38,179,yes
33,1047,yes
44,7138,yes
31,165,yes
31,37,yes
49,823,yes
52,1625,yes
31,120,yes
35,2957,yes
31,2,yes
36,1,yes
39,1795,yes
46,4,yes
48,476,yes
36,9,yes
30,131,yes
33,1120,yes
57,2785,yes
33,0,yes
35,43,yes
53,0,yes
41,456,yes
32,2018,yes
41,0,yes
35,354,yes
48,719,yes
34,828,yes
47,2787,yes
46,2551,yes
60,2722,yes
39,1880,yes
57,2112,yes
36,871,yes
30,850,yes
33,3243,yes
30,1567,yes
36,12,yes
49,128,yes
49,553,yes
40,1694,yes
49,408,yes
38,1223,yes
31,1858,yes
34,520,yes
39,271,yes
40,4396,yes
47,568,yes
37,3665,yes
44,244,yes
55,568,yes
40,42,yes
54,309,yes
35,-180,yes
32,34646,yes
36,59,yes
37,4436,yes
37,-242,yes
50,10052,yes
58,0,yes
52,152,yes
31,156,yes
40,66,yes
34,9827,yes
53,6170,yes
43,2383,yes
30,635,yes
34,16,yes
48,362,yes
33,191,yes
37,455,yes
57,3043,yes
55,3334,yes
34,8029,yes
44,624,yes
35,331,yes
34,2929,yes
49,1314,yes
30,289,yes
32,20,yes
56,8163,yes
50,1200,yes
32,1732,yes
45,0,yes
52,576,yes
60,493,yes
47,682,yes
32,0,yes
55,3485,yes
36,2944,yes
46,1353,yes
55,0,yes
30,1541,yes
54,548,yes
31,254,yes
46,4414,yes
61,985,yes
58,1241,yes
38,3278,yes
49,412,yes
43,483,yes
52,7135,yes
33,61,yes
33,1412,yes
53,15,yes
40,27,yes
44,1196,yes
42,19,yes
33,432,yes
53,988,yes
60,1614,yes
33,163,yes
37,247,yes
45,236,yes
34,666,yes
56,73,yes
57,96,yes
32,46,yes
50,1501,yes
30,-477,yes
56,1694,yes
55,196,yes
34,462,yes
52,1227,yes
32,522,yes
31,94,yes
44,267,yes
33,4570,yes
53,25,yes
46,0,yes
46,1920,yes
59,1575,yes
51,234,yes
57,3518,yes
43,136,yes
48,830,yes
33,2054,yes
59,-546,yes
58,5188,yes
32,1882,yes
44,792,yes
47,162,yes
34,1035,yes
51,746,yes
60,17297,yes
46,22,yes
41,231,yes
34,296,yes
31,0,yes
37,40,yes
59,2396,yes
55,2944,yes
33,7084,yes
30,569,yes
36,0,yes
44,1138,yes
36,54,yes
33,2637,yes
36,2473,yes
53,5603,yes
47,225,yes
39,-17,yes
35,3490,yes
32,769,yes
46,-90,yes
30,1785,yes
36,-103,yes
47,555,yes
52,5303,yes
43,1258,yes
44,1679,yes
30,1664,yes
32,8749,yes
42,-247,yes
33,3444,yes
45,5346,yes
45,1144,yes
28,2351,yes
32,5514,yes
28,123,yes
44,429,yes
51,5254,yes
56,589,yes
40,568,yes
49,10250,yes
50,3537,yes
58,1947,yes
37,1967,yes
27,2329,yes
47,12026,yes
39,1757,yes
43,107,yes
34,1012,yes
35,0,yes
58,372,yes
35,7506,yes
42,314,yes
43,860,yes
34,0,yes
35,3623,yes
38,2470,yes
39,1307,yes
58,3237,yes
60,5041,yes
56,6619,yes
31,1331,yes
37,1970,yes
59,1026,yes
49,249,yes
30,12857,yes
31,2807,yes
40,5060,yes
43,2271,yes
48,1,yes
34,676,yes
28,160,yes
34,899,yes
47,1230,yes
59,0,yes
32,700,yes
31,0,yes
27,67,yes
35,127,yes
32,2089,yes
57,3585,yes
58,4152,yes
30,816,yes
37,5447,yes
44,275,yes
57,1540,yes
34,751,yes
54,380,yes
55,1504,yes
59,1783,yes
53,2269,yes
37,5115,yes
45,781,yes
49,-188,yes
31,761,yes
31,19,yes
35,4508,yes
37,66,yes
48,2266,yes
39,4646,yes
34,1494,yes
49,1050,yes
41,0,yes
46,0,yes
54,2171,yes
38,3234,yes
39,11887,yes
46,0,yes
58,5037,yes
32,386,yes
30,8781,yes
51,538,yes
30,5561,yes
35,859,yes
30,0,yes
30,-617,yes
43,1429,yes
47,4189,yes
51,580,yes
32,2615,yes
53,587,yes
33,149,yes
40,3,yes
42,807,yes
46,3354,yes
32,1249,yes
38,190,yes
32,550,yes
30,12737,yes
35,0,yes
36,1207,yes
43,347,yes
42,3713,yes
40,3352,yes
32,254,yes
32,4654,yes
41,-386,yes
34,3043,yes
40,1547,yes
32,945,yes
32,6402,yes
36,1295,yes
45,6993,yes
47,4420,yes
35,141,yes
36,11462,yes
33,6843,yes
30,501,yes
32,5806,yes
45,20138,yes
47,1315,yes
46,0,yes
39,7,yes
30,3929,yes
45,7,yes
43,699,yes
53,421,yes
43,4333,yes
54,300,yes
30,7773,yes
30,1794,yes
36,2032,yes
33,3401,yes
38,1110,yes
37,3068,yes
32,983,yes
59,2396,yes
59,6888,yes
46,2087,yes
32,121,yes
52,3469,yes
45,5461,yes
52,7119,yes
31,-35,yes
31,314,yes
39,18508,yes
35,5639,yes
33,2918,yes
50,12519,yes
36,4069,yes
34,4254,yes
46,219,yes
47,0,yes
39,2263,yes
31,2589,yes
41,1982,yes
59,7049,yes
39,1968,yes
48,7195,yes
50,4117,yes
31,3950,yes
30,495,yes
31,8629,yes
30,455,yes
34,4536,yes
53,1777,yes
34,3527,yes
57,372,yes
41,92,yes
40,72,yes
37,1533,yes
31,4148,yes
58,96,yes
39,2245,yes
47,834,yes
44,4119,yes
45,-525,yes
41,39,yes
33,0,yes
30,2766,yes
30,3300,yes
42,36,yes
49,22520,yes
59,7724,yes
31,111,yes
43,2640,yes
38,3436,yes
30,0,yes
35,3636,yes
43,3288,yes
34,2633,yes
52,580,yes
46,149,yes
46,4329,yes
37,1097,yes
42,1275,yes
23,1003,yes
53,1004,yes
26,814,yes
49,808,yes
34,859,yes
28,4465,yes
46,0,yes
26,622,yes
31,1709,yes
51,394,yes
47,1125,yes
53,-462,yes
29,550,yes
32,540,yes
26,941,yes
40,1361,yes
33,-452,yes
49,518,yes
60,-71,yes
41,3234,yes
36,98,yes
29,196,yes
42,936,yes
33,300,yes
31,217,yes
31,163,yes
26,110,yes
40,1646,yes
45,2040,yes
55,-308,yes
29,2325,yes
47,86,yes
50,1088,yes
44,0,yes
56,0,yes
39,2103,yes
59,2,yes
43,51,yes
36,96,yes
29,1027,yes
38,1308,yes
41,840,yes
58,5701,yes
61,6016,yes
36,630,yes
30,432,yes
43,-247,yes
39,52,yes
48,623,yes
26,0,yes
51,100,yes
37,4089,yes
29,1669,yes
57,169,yes
25,483,yes
68,250,yes
34,0,yes
38,902,yes
54,2156,yes
32,2360,yes
41,201,yes
48,-92,yes
59,514,yes
39,-114,yes
31,1331,yes
30,732,yes
40,1308,yes
28,0,yes
52,-970,yes
32,1246,yes
34,73,yes
31,406,yes
57,4391,yes
31,168,yes
29,1441,yes
75,3881,yes
32,678,yes
31,141,yes
41,-94,yes
22,897,yes
31,1214,yes
69,324,yes
30,2666,yes
49,10613,yes
29,697,yes
43,953,yes
28,198,yes
56,1110,yes
39,130,yes
33,315,yes
38,4383,yes
30,313,yes
29,273,yes
69,840,yes
44,309,yes
35,2707,yes
31,1109,yes
26,101,yes
26,725,yes
34,309,yes
42,541,yes
54,0,yes
53,1624,yes
54,0,yes
48,318,yes
40,1908,yes
28,676,yes
34,1076,yes
34,1228,yes
32,0,yes
31,13,yes
31,12857,yes
66,0,yes
37,6101,yes
33,158,yes
50,346,yes
33,697,yes
56,616,yes
26,1140,yes
59,3444,yes
32,1879,yes
22,0,yes
34,0,yes
39,1493,yes
28,313,yes
31,1815,yes
33,700,yes
66,206,yes
26,255,yes
30,270,yes
28,4987,yes
29,673,yes
49,320,yes
34,0,yes
47,292,yes
42,757,yes
43,40,yes
61,1257,yes
35,1693,yes
40,5060,yes
31,373,yes
33,369,yes
69,2346,yes
30,1599,yes
41,1066,yes
31,2603,yes
22,381,yes
37,1314,yes
48,5689,yes
85,12114,yes
72,0,yes
46,2232,yes
26,11862,yes
37,127,yes
53,2152,yes
33,3552,yes
90,1,yes
54,1872,yes
67,1341,yes
42,7702,yes
71,4657,yes
44,397,yes
47,0,yes
44,348,yes
37,2442,yes
37,1543,yes
28,805,yes
21,2265,yes
32,312,yes
51,196,yes
26,620,yes
74,1714,yes
65,2416,yes
47,335,yes
38,755,yes
71,2850,yes
29,1135,yes
61,197,yes
57,720,yes
37,5355,yes
68,445,yes
29,5359,yes
51,1443,yes
41,4047,yes
24,23878,yes
24,167,yes
59,1047,yes
85,7613,yes
51,117,yes
39,2266,yes
44,558,yes
26,2509,yes
48,1808,yes
37,1130,yes
71,653,yes
62,2021,yes
26,313,yes
43,983,yes
30,5561,yes
50,8345,yes
25,1231,yes
25,3730,yes
31,924,yes
28,2489,yes
66,995,yes
41,280,yes
46,3434,yes
42,576,yes
28,1363,yes
39,581,yes
42,1376,yes
35,52,yes
55,0,yes
37,549,yes
29,92,yes
49,2881,yes
44,250,yes
54,602,yes
28,730,yes
30,523,yes
47,293,yes
34,215,yes
37,0,yes
25,42,yes
29,316,yes
62,4562,yes
58,10180,yes
46,0,yes
56,281,yes
33,250,yes
27,0,yes
60,404,yes
32,506,yes
83,1097,yes
35,3698,yes
31,883,yes
30,2539,yes
29,2326,yes
36,811,yes
57,256,yes
21,682,yes
44,483,yes
23,1506,yes
34,575,yes
32,409,yes
37,1316,yes
35,671,yes
47,2351,yes
61,997,yes
30,4808,yes
70,6422,yes
52,31,yes
28,171,yes
57,2681,yes
24,-61,yes
32,8929,yes
65,715,yes
44,1058,yes
32,-34,yes
33,258,yes
53,0,yes
31,71,yes
58,5810,yes
30,3473,yes
47,238,yes
60,1740,yes
36,3407,yes
37,1045,yes
43,132,yes
37,1000,yes
31,115,yes
31,180,yes
30,201,yes
30,8089,yes
32,8866,yes
35,2,yes
59,259,yes
33,1107,yes
37,1730,yes
31,447,yes
26,2786,yes
53,10185,yes
34,978,yes
46,-130,yes
76,3049,yes
46,11385,yes
83,46,yes
23,4126,yes
34,212,yes
24,1250,yes
41,25,yes
28,1277,yes
34,390,yes
77,9601,yes
36,565,yes
58,1384,yes
46,-522,yes
59,9676,yes
19,134,yes
23,2143,yes
27,831,yes
73,2308,yes
41,1468,yes
30,311,yes
26,274,yes
38,172,yes
46,507,yes
27,393,yes
63,-39,yes
34,1474,yes
32,471,yes
33,3161,yes
47,1612,yes
48,4099,yes
58,68,yes
50,414,yes
26,5005,yes
39,1756,yes
55,1613,yes
41,3123,yes
54,4736,yes
33,127,yes
42,11891,yes
50,4979,yes
40,754,yes
37,1207,yes
44,712,yes
30,297,yes
26,3676,yes
47,817,yes
46,283,yes
25,82,yes
56,2847,yes
36,1822,yes
35,16,yes
54,377,yes
48,4415,yes
32,303,yes
60,12039,yes
67,1443,yes
32,1781,yes
26,3415,yes
33,318,yes
21,423,yes
30,2544,yes
27,2614,yes
30,1268,yes
36,536,yes
27,1293,yes
29,1377,yes
38,2580,yes
23,314,yes
38,206,yes
30,3286,yes
41,803,yes
33,719,yes
35,898,yes
29,332,yes
68,695,yes
20,1819,yes
30,2544,yes
32,759,yes
28,229,yes
45,96,yes
29,110,yes
31,1406,yes
39,0,yes
42,2103,yes
35,1599,yes
34,925,yes
26,-3,yes
29,84,yes
44,1367,yes
34,703,yes
33,0,yes
34,2646,yes
33,572,yes
22,107,yes
32,765,yes
36,-253,yes
44,0,yes
65,2,yes
61,6,yes
41,0,yes
24,448,yes
77,4659,yes
62,1528,yes
30,330,yes
29,731,yes
29,25,yes
65,587,yes
43,2557,yes
70,275,yes
32,1129,yes
46,2149,yes
33,855,yes
57,491,yes
62,180,yes
32,133,yes
39,649,yes
76,1411,yes
36,11174,yes
27,439,yes
38,6158,yes
56,3498,yes
51,1801,yes
39,937,yes
35,26,yes
32,-53,yes
51,2337,yes
37,1762,yes
52,3469,yes
35,545,yes
47,3480,yes
31,183,yes
49,2416,yes
30,424,yes
35,0,yes
44,294,yes
42,1598,yes
29,268,yes
42,214,yes
43,240,yes
36,2511,yes
36,4596,yes
32,1273,yes
54,3994,yes
50,469,yes
32,932,yes
28,844,yes
40,471,yes
34,63,yes
52,-779,yes
35,293,yes
32,294,yes
60,13546,yes
34,329,yes
30,69,yes
39,-3058,yes
40,224,yes
38,165,yes
35,397,yes
37,3154,yes
29,1180,yes
36,-487,yes
34,879,yes
33,806,yes
29,674,yes
33,0,yes
41,323,yes
74,921,yes
53,5303,yes
38,0,yes
41,4004,yes
52,386,yes
40,284,yes
32,-242,yes
28,1086,yes
28,2840,yes
35,43,yes
46,3229,yes
50,341,yes
44,0,yes
29,-19,yes
61,243,yes
70,2575,yes
44,105,yes
59,0,yes
45,-443,yes
39,1524,yes
36,1925,yes
78,240,yes
28,387,yes
50,13,yes
73,3203,yes
34,606,yes
28,0,yes
42,527,yes
54,309,yes
27,4333,yes
73,253,yes
33,6807,yes
51,83,yes
32,819,yes
33,1968,yes
26,136,yes
32,1995,yes
41,285,yes
39,621,yes
24,597,yes
37,0,yes
35,1750,yes
26,10086,yes
29,3466,yes
63,2193,yes
95,2282,yes
65,1973,yes
59,10925,yes
35,704,yes
74,9480,yes
56,3391,yes
26,1134,yes
30,6281,yes
29,123,yes
78,8556,yes
45,0,yes
29,2,yes
39,1108,yes
45,212,yes
45,5110,yes
36,17,yes
41,942,yes
38,0,yes
33,882,yes
30,81,yes
65,276,yes
75,2991,yes
65,90,yes
53,3754,yes
40,395,yes
31,676,yes
25,8,yes
37,0,yes
32,2069,yes
45,506,yes
35,8,yes
74,670,yes
37,0,yes
59,1939,yes
76,1780,yes
25,0,yes
27,955,yes
39,732,yes
24,2022,yes
28,4099,yes
51,4917,yes
66,2883,yes
28,1374,yes
30,398,yes
58,3027,yes
32,2974,yes
31,1081,yes
71,383,yes
37,3913,yes
56,3287,yes
65,3629,yes
72,132,yes
51,726,yes
35,149,yes
34,640,yes
29,7707,yes
30,53,yes
39,15,yes
45,242,yes
28,377,yes
52,94,yes
59,363,yes
38,1970,yes
47,1167,yes
52,193,yes
38,0,yes
29,78,yes
36,1291,yes
58,1425,yes
31,3382,yes
59,5583,yes
47,1230,yes
36,96,yes
21,224,yes
23,0,yes
47,1730,yes
29,697,yes
25,943,yes
37,1458,yes
33,95,yes
59,2308,yes
58,5701,yes
44,1529,yes
48,292,yes
34,7468,yes
42,1559,yes
54,1693,yes
42,757,yes
42,201,yes
44,1070,yes
37,1330,yes
29,314,yes
47,677,yes
24,2845,yes
34,-32,yes
30,398,yes
46,0,yes
34,1337,yes
59,493,yes
35,1750,yes
33,4401,yes
35,193,yes
37,5106,yes
35,994,yes
38,1101,yes
33,129,yes
42,6060,yes
33,55,yes
53,1624,yes
53,341,yes
31,2016,yes
26,255,yes
30,4684,yes
24,1052,yes
28,1808,yes
26,3511,yes
35,518,yes
28,227,yes
30,270,yes
32,4733,yes
52,6657,yes
38,613,yes
34,5462,yes
29,674,yes
30,364,yes
31,181,yes
24,474,yes
25,219,yes
47,86,yes
33,1170,yes
34,18,yes
36,197,yes
50,938,yes
34,1228,yes
54,2156,yes
47,2408,yes
31,35,yes
36,393,yes
35,618,yes
25,1608,yes
46,699,yes
49,5802,yes
47,2749,yes
35,1162,yes
30,776,yes
31,1619,yes
55,139,yes
25,2816,yes
26,507,yes
85,98,yes
29,2753,yes
39,0,yes
33,498,yes
33,700,yes
58,4152,yes
61,927,yes
50,2252,yes
54,0,yes
33,0,yes
36,728,yes
31,354,yes
24,382,yes
29,36252,yes
40,158,yes
29,734,yes
30,305,yes
45,10252,yes
37,3141,yes
28,236,yes
33,5437,yes
33,133,yes
45,640,yes
25,253,yes
41,5060,yes
38,902,yes
47,335,yes
49,1,yes
42,1451,yes
33,1636,yes
36,3221,yes
60,316,yes
33,2044,yes
33,557,yes
33,489,yes
32,1138,yes
36,188,yes
45,1998,yes
35,520,yes
38,6368,yes
30,2666,yes
31,4182,yes
32,3271,yes
44,163,yes
39,1515,yes
45,803,yes
32,400,yes
39,2454,yes
30,533,yes
63,2352,yes
56,9367,yes
26,237,yes
37,444,yes
29,9407,yes
24,387,yes
35,2971,yes
43,2643,yes
39,261,yes
59,514,yes
50,5872,yes
44,-368,yes
35,188,yes
30,61,yes
58,2160,yes
37,658,yes
39,0,yes
31,196,yes
33,94,yes
41,326,yes
44,-395,yes
46,9328,yes
30,-522,yes
35,1286,yes
27,710,yes
39,3,yes
32,0,yes
37,141,yes
31,53,yes
30,415,yes
34,0,yes
31,1979,yes
27,0,yes
36,7506,yes
32,752,yes
49,99,yes
29,266,yes
29,27,yes
28,524,yes
60,5990,yes
33,3935,yes
35,991,yes
31,59,yes
40,1598,yes
29,0,yes
35,802,yes
32,2465,yes
26,114,yes
42,1461,yes
33,475,yes
36,4,yes
35,1618,yes
30,-271,yes
59,2166,yes
44,4031,yes
50,5024,yes
51,-1944,yes
51,3025,yes
60,2090,yes
29,0,yes
43,1429,yes
31,0,yes
26,311,yes
23,66,yes
49,2146,yes
42,356,yes
39,62,yes
45,-106,yes
45,608,yes
39,291,yes
45,-184,yes
39,2345,yes
23,4,yes
57,6005,yes
32,333,yes
29,3041,yes
